"station","date","lat","lon","NO23","uni"
"21FLWQSP_WQX-HIL538UL","2005-03-21",28.1124171,-82.561293,0.004,"mg/L"
"21FLWQSP_WQX-HIL548UL","2005-03-22",28.0710956,-82.498235,0.004,"mg/L"
"21FLHILL_WQX-082","2005-09-27",27.751101,-82.5718,0.003,"mg/L"
"21FLHILL_WQX-132","2005-11-16",27.835699,-82.346199,0.547,"mg/L"
"21FLHILL_WQX-047","2005-01-05",27.972601,-82.620201,0.002,"mg/L"
"21FLHILL_WQX-046","2005-12-06",27.9904,-82.659302,0.002,"mg/L"
"21FLHILL_WQX-132","2005-12-21",27.835699,-82.346199,0.374,"mg/L"
"21FLTPA_WQX-27584728241429","2005-06-07",27.9797778,-82.69525,0.009,"mg/L"
"21FLHILL_WQX-101","2005-07-05",28.024799,-82.631599,0.036,"mg/L"
"21FLHILL_WQX-156","2005-09-06",28.04069,-82.63966,0.133,"mg/L"
"21FLHILL_WQX-040","2005-11-01",27.9291,-82.587303,0.01,"mg/L"
"21FLSWFD_WQX-17737","2005-11-15",27.7629166,-82.362888,0.026,"mg/L"
"21FLHILL_WQX-158","2005-07-05",28.03391,-82.62173,0.068,"mg/L"
"21FLWQSP_WQX-HIL548UL","2005-12-20",28.0710956,-82.498235,0.004,"mg/L"
"21FLHILL_WQX-061","2005-04-05",27.9687,-82.562103,0.016,"mg/L"
"21FLTPA_WQX-27480908236314","2005-03-14",27.8025,-82.6087222,0.048,"mg/L"
"21FLSWFD_WQX-17927","2005-02-21",27.7481666,-82.281972,0.4069,"mg/L"
"21FLTPA_WQX-27525598242544","2005-04-04",27.8821944,-82.7151111,0.042,"mg/L"
"21FLHILL_WQX-022","2005-08-23",27.608101,-82.571198,0.004,"mg/L"
"21FLHILL_WQX-161","2005-02-02",28.06565,-82.55524,0.855,"mg/L"
"21FLHILL_WQX-163","2005-02-02",28.0001,-82.55179,0.11,"mg/L"
"21FLWQSP_WQX-PIN594UL","2005-08-23",27.78699,-82.64124,0.004,"mg/L"
"21FLHILL_WQX-055","2005-11-08",27.8493,-82.431396,0.005,"mg/L"
"21FLSWFD_WQX-17927","2005-09-19",27.7481666,-82.281972,0.2127,"mg/L"
"21FLTPA_WQX-27583848221553","2005-10-11",27.9773333,-82.3653611,0.013,"mg/L"
"21FLHILL_WQX-506","2005-08-09",28.08528,-82.5603,0.029,"mg/L"
"21FLWQSP_WQX-PIN588US","2005-05-31",27.9150743,-82.724609,0.18,"mg/L"
"21FLTPA_WQX-24040127","2005-04-19",27.8795556,-82.7176389,0.014,"mg/L"
"21FLHILL_WQX-051","2005-03-02",27.8902,-82.548798,0.014,"mg/L"
"21FLHILL_WQX-023","2005-01-25",27.666,-82.599197,0.008,"mg/L"
"21FLTPA_WQX-27474728237590","2005-03-22",27.7964444,-82.6330556,0.006,"mg/L"
"21FLTPA_WQX-2821088242192","2005-11-15",28.0363333,-82.7053333,0.1,"mg/L"
"21FLHILL_WQX-013","2005-05-10",27.8118,-82.523201,0.002,"mg/L"
"21FLSWFD_WQX-17736","2005-04-25",27.7731666,-82.334972,0.1894,"mg/L"
"21FLHILL_WQX-167","2005-10-19",27.79221,-82.35217,0.124,"mg/L"
"21FLHILL_WQX-050","2005-03-02",27.918501,-82.537903,0.008,"mg/L"
"21FLSWFD_WQX-22664","2005-03-24",27.7402777,-82.661944,0.084,"mg/L"
"21FLHILL_WQX-008","2005-01-11",27.8524,-82.409302,0.192,"mg/L"
"21FLWQSP_WQX-HIL544UL","2005-12-05",28.0738883,-82.505128,0.004,"mg/L"
"21FLHILL_WQX-142","2005-05-04",28.026699,-82.538002,0.013,"mg/L"
"21FLHILL_WQX-071","2005-07-12",27.876499,-82.413803,0.032,"mg/L"
"21FLHILL_WQX-054","2005-04-12",27.9319,-82.432602,0.008,"mg/L"
"21FLHILL_WQX-161","2005-09-06",28.06565,-82.55524,0.377,"mg/L"
"21FLHILL_WQX-096","2005-12-14",27.6378,-82.691002,0.008,"mg/L"
"21FLHILL_WQX-142","2005-04-06",28.026699,-82.538002,0.026,"mg/L"
"21FLHILL_WQX-016","2005-05-24",27.723801,-82.533798,0.004,"mg/L"
"21FLHILL_WQX-009","2005-02-08",27.786501,-82.4272,0.005,"mg/L"
"21FLHILL_WQX-090","2005-12-14",27.625999,-82.591499,0.005,"mg/L"
"21FLHILL_WQX-081","2005-01-11",27.7813,-82.474098,0.002,"mg/L"
"21FLHILL_WQX-102","2005-04-06",28.010599,-82.607803,0.01,"mg/L"
"21FLHILL_WQX-038","2005-10-04",27.8818,-82.577499,0.006,"mg/L"
"21FLTPA_WQX-28001328218469","2005-05-10",28.0036667,-82.3130278,0.006,"mg/L"
"21FLHILL_WQX-014","2005-07-12",27.778,-82.520302,0.006,"mg/L"
"21FLTPA_WQX-27473788237524","2005-04-25",27.7938333,-82.6312222,0.083,"mg/L"
"21FLWQSP_WQX-HIL542UL","2005-06-06",28.1398009,-82.476899,0.06,"mg/L"
"21FLHILL_WQX-158","2005-08-02",28.03391,-82.62173,0.107,"mg/L"
"21FLHILL_WQX-144","2005-04-20",27.8381,-82.382202,0.032,"mg/L"
"21FLHILL_WQX-588","2005-07-13",27.738783,-82.42635,0.195,"mg/L"
"21FLTPA_WQX-27593868241169","2005-02-28",27.9940556,-82.6880278,0.055,"mg/L"
"21FLHILL_WQX-102","2005-09-06",28.010599,-82.607803,0.007,"mg/L"
"21FLHILL_WQX-502","2005-05-11",27.98556,-82.57018,0.002,"mg/L"
"21FLTPA_WQX-27541458224534","2005-05-09",27.9040278,-82.4148333,0.02,"mg/L"
"21FLTPA_WQX-27541138225118","2005-09-19",27.9031389,-82.4199444,0.024,"mg/L"
"21FLHILL_WQX-019","2005-08-23",27.693399,-82.555901,0.008,"mg/L"
"21FLHILL_WQX-101","2005-09-06",28.024799,-82.631599,0.108,"mg/L"
"21FLSWFD_WQX-17982","2005-04-25",27.7408611,-82.293861,0.2165,"mg/L"
"21FLHILL_WQX-109","2005-02-16",27.945999,-82.401604,0.002,"mg/L"
"21FLTPA_WQX-28003498219124","2005-08-02",28.0096944,-82.3201111,0.077,"mg/L"
"21FLHILL_WQX-080","2005-07-12",27.809601,-82.445999,0.014,"mg/L"
"21FLHILL_WQX-090","2005-06-21",27.625999,-82.591499,0.008,"mg/L"
"21FLHILL_WQX-068","2005-01-05",27.8519,-82.580803,0.005,"mg/L"
"21FLHILL_WQX-068","2005-07-06",27.8519,-82.580803,0.014,"mg/L"
"21FLSWFD_WQX-17737","2005-06-27",27.7629166,-82.362888,0.0266,"mg/L"
"21FLHILL_WQX-066","2005-01-05",27.927799,-82.639702,0.004,"mg/L"
"21FLHILL_WQX-157","2005-08-02",28.04484,-82.64484,0.039,"mg/L"
"21FLHILL_WQX-062","2005-02-01",27.969999,-82.574303,0.017,"mg/L"
"21FLHILL_WQX-161","2005-12-07",28.06565,-82.55524,0.203,"mg/L"
"21FLHILL_WQX-103","2005-07-05",27.997601,-82.586304,0.163,"mg/L"
"21FLHILL_WQX-051","2005-02-01",27.8902,-82.548798,0.009,"mg/L"
"21FLWQSP_WQX-HIL538UL","2005-11-21",28.1124171,-82.561293,0.004,"mg/L"
"21FLTPA_WQX-24010117","2005-03-14",27.6048056,-82.563,0.004,"mg/L"
"21FLHILL_WQX-101","2005-08-02",28.024799,-82.631599,0.065,"mg/L"
"21FLTPA_WQX-27541458224534","2005-10-31",27.9040278,-82.4148333,0.022,"mg/L"
"21FLHILL_WQX-163","2005-11-02",28.0001,-82.55179,0.189,"mg/L"
"21FLHILL_WQX-109","2005-10-19",27.945999,-82.401604,0.033,"mg/L"
"21FLHILL_WQX-561","2005-06-22",27.931633,-82.399217,0.167,"mg/L"
"21FLHILL_WQX-093","2005-02-22",27.578899,-82.744102,0.006,"mg/L"
"21FLHILL_WQX-054","2005-08-10",27.9319,-82.432602,0.016,"mg/L"
"21FLTPA_WQX-28025538242267","2005-08-22",28.0486944,-82.7074167,0.017,"mg/L"
"21FLHILL_WQX-055","2005-01-11",27.8493,-82.431396,0.007,"mg/L"
"21FLHILL_WQX-084","2005-06-21",27.729,-82.498703,0.004,"mg/L"
"21FLHILL_WQX-101","2005-10-05",28.024799,-82.631599,0.035,"mg/L"
"21FLHILL_WQX-090","2005-04-26",27.625999,-82.591499,0.01,"mg/L"
"21FLHILL_WQX-103","2005-12-07",27.997601,-82.586304,0.253,"mg/L"
"21FLHILL_WQX-093","2005-10-26",27.578899,-82.744102,0.009,"mg/L"
"21FLTPA_WQX-28003498219124","2005-09-12",28.0096944,-82.3201111,0.031,"mg/L"
"21FLSWFD_WQX-17736","2005-10-18",27.7731666,-82.334972,0.303,"mg/L"
"21FLWQSP_WQX-HIL589US","2005-09-06",27.923746,-82.372054,0.04,"mg/L"
"21FLTPA_WQX-2801568241139","2005-06-07",28.0182222,-82.6871944,0.053,"mg/L"
"21FLTPA_WQX-28001328218469","2005-09-12",28.0036667,-82.3130278,0.052,"mg/L"
"21FLSWFD_WQX-22664","2005-07-26",27.7402777,-82.661944,0.016,"mg/L"
"21FLHILL_WQX-013","2005-01-11",27.8118,-82.523201,0.002,"mg/L"
"21FLTPA_WQX-2801568241139","2005-09-06",28.0182222,-82.6871944,0.24,"mg/L"
"21FLSWFD_WQX-22663","2005-05-24",27.7430555,-82.648333,0.018,"mg/L"
"21FLHILL_WQX-094","2005-03-22",27.610001,-82.783203,0.006,"mg/L"
"21FLWQSP_WQX-HIL538UL","2005-06-13",28.1124171,-82.561293,0.004,"mg/L"
"21FLHILL_WQX-133","2005-02-16",27.915001,-82.402199,2.442,"mg/L"
"21FLTPA_WQX-24040108","2005-10-10",27.8939167,-82.7107222,0.25,"mg/L"
"21FLWQSP_WQX-HIL591CA","2005-05-31",27.9758392,-82.361009,0.004,"mg/L"
"21FLTPA_WQX-27573848245352","2005-08-16",27.9606667,-82.7597778,0.049,"mg/L"
"21FLHILL_WQX-060","2005-05-03",27.989901,-82.631599,0.006,"mg/L"
"21FLTPA_WQX-2821088242192","2005-10-03",28.0363333,-82.7053333,0.072,"mg/L"
"21FLHILL_WQX-081","2005-04-12",27.7813,-82.474098,0.008,"mg/L"
"21FLHILL_WQX-159","2005-10-05",28.12344,-82.57732,0.01,"mg/L"
"21FLHILL_WQX-033","2005-02-01",27.826099,-82.567497,0.004,"mg/L"
"21FLTPA_WQX-27584728241429","2005-06-28",27.9797778,-82.69525,0.009,"mg/L"
"21FLHILL_WQX-104","2005-08-02",27.9821,-82.562302,0.084,"mg/L"
"21FLTPA_WQX-27593868241169","2005-03-29",27.9940556,-82.6880278,0.038,"mg/L"
"21FLHILL_WQX-042","2005-07-06",27.952801,-82.641602,0.014,"mg/L"
"21FLHILL_WQX-157","2005-05-04",28.04484,-82.64484,0.097,"mg/L"
"21FLHILL_WQX-158","2005-03-01",28.03391,-82.62173,0.063,"mg/L"
"21FLHILL_WQX-091","2005-09-27",27.627899,-82.641502,0.002,"mg/L"
"21FLHILL_WQX-095","2005-04-26",27.6112,-82.694702,0.014,"mg/L"
"21FLTPA_WQX-27541458224534","2005-10-03",27.9040278,-82.4148333,0.035,"mg/L"
"21FLTPA_WQX-24040127","2005-09-06",27.8795556,-82.7176389,0.088,"mg/L"
"21FLHILL_WQX-070","2005-09-13",27.908899,-82.463203,0.002,"mg/L"
"21FLSWFD_WQX-22665","2005-07-26",27.7372222,-82.6525,0.004,"mg/L"
"21FLHILL_WQX-070","2005-11-08",27.908899,-82.463203,0.002,"mg/L"
"21FLSWFD_WQX-22665","2005-09-28",27.7372222,-82.6525,0.009,"mg/L"
"21FLTPA_WQX-2756187824522","2005-10-10",27.9385278,-82.7506111,0.06,"mg/L"
"21FLTPA_WQX-24040127","2005-10-10",27.8795556,-82.7176389,0.36,"mg/L"
"21FLTPA_WQX-27584728241429","2005-08-29",27.9797778,-82.69525,0.014,"mg/L"
"21FLHILL_WQX-052","2005-04-12",27.896999,-82.438202,0.006,"mg/L"
"21FLSWFD_WQX-22665","2005-04-27",27.7372222,-82.6525,0.005,"mg/L"
"21FLWQSP_WQX-PIN589US","2005-08-23",27.9131514,-82.741033,0.03,"mg/L"
"21FLHILL_WQX-596","2005-07-27",27.87735,-82.390383,0.143,"mg/L"
"21FLHILL_WQX-032","2005-01-11",27.7932,-82.570702,0.004,"mg/L"
"21FLWQSP_WQX-HIL591CA","2005-12-06",27.9758392,-82.361009,0.06,"mg/L"
"21FLHILL_WQX-157","2005-03-01",28.04484,-82.64484,0.031,"mg/L"
"21FLHILL_WQX-038","2005-04-05",27.8818,-82.577499,0.015,"mg/L"
"21FLHILL_WQX-054","2005-12-13",27.9319,-82.432602,0.008,"mg/L"
"21FLTPA_WQX-27595058241475","2005-08-30",27.9973611,-82.6965278,0.05,"mg/L"
"21FLSWFD_WQX-22666","2005-08-23",27.7422222,-82.655555,0.002,"mg/L"
"21FLTPA_WQX-27584478242314","2005-11-29",27.9790833,-82.7087222,0.028,"mg/L"
"21FLHILL_WQX-011","2005-02-08",27.812901,-82.478897,0.003,"mg/L"
"21FLHILL_WQX-167","2005-03-16",27.79221,-82.35217,0.073,"mg/L"
"21FLTPA_WQX-2801568241139","2005-05-24",28.0182222,-82.6871944,0.034,"mg/L"
"21FLHILL_WQX-047","2005-03-02",27.972601,-82.620201,0.01,"mg/L"
"21FLHILL_WQX-096","2005-07-26",27.6378,-82.691002,0.002,"mg/L"
"21FLHILL_WQX-592","2005-09-28",27.7749,-82.3881,0.031,"mg/L"
"21FLTPA_WQX-24010114","2005-10-31",27.6031667,-82.5545,0.004,"mg/L"
"21FLHILL_WQX-058","2005-02-08",27.9398,-82.419601,0.006,"mg/L"
"21FLHILL_WQX-036","2005-12-06",27.855801,-82.553299,0.005,"mg/L"
"21FLTPA_WQX-280503823129","2005-08-09",28.0834167,-82.5247222,0.1,"mg/L"
"21FLTPA_WQX-28353823320","2005-09-13",28.0647222,-82.5555556,0.45,"mg/L"
"21FLWQSP_WQX-HIL591CA","2005-03-22",27.9758392,-82.361009,0.004,"mg/L"
"21FLHILL_WQX-144","2005-03-16",27.8381,-82.382202,0.062,"mg/L"
"21FLSWFD_WQX-22666","2005-02-17",27.7422222,-82.655555,0.009,"mg/L"
"21FLHILL_WQX-025","2005-04-26",27.662701,-82.6679,0.008,"mg/L"
"21FLSWFD_WQX-17927","2005-03-31",27.7481666,-82.281972,0.3905,"mg/L"
"21FLTPA_WQX-2801568241139","2005-07-26",28.0182222,-82.6871944,0.15,"mg/L"
"21FLHILL_WQX-591","2005-07-13",27.76515,-82.39405,0.101,"mg/L"
"21FLHILL_WQX-067","2005-07-06",27.9002,-82.592003,0.019,"mg/L"
"21FLTPA_WQX-28020958240534","2005-11-08",28.0359722,-82.6815,0.006,"mg/L"
"21FLHILL_WQX-073","2005-05-10",27.8281,-82.413101,0.005,"mg/L"
"21FLTPA_WQX-28585728242259","2005-04-19",27.9825555,-82.7071944,0.052,"mg/L"
"21FLHILL_WQX-082","2005-01-25",27.751101,-82.5718,0.004,"mg/L"
"21FLHILL_WQX-159","2005-11-02",28.12344,-82.57732,0.018,"mg/L"
"21FLHILL_WQX-032","2005-02-08",27.7932,-82.570702,0.012,"mg/L"
"21FLHILL_WQX-594","2005-10-25",27.819233,-82.382517,0.026,"mg/L"
"21FLTPA_WQX-28025538242267","2005-05-17",28.0486944,-82.7074167,0.008,"mg/L"
"21FLHILL_WQX-509","2005-08-09",28.157066,-82.5065,0.009,"mg/L"
"21FLTPA_WQX-2821088242192","2005-09-13",28.0363333,-82.7053333,0.097,"mg/L"
"21FLHILL_WQX-067","2005-02-01",27.9002,-82.592003,0.002,"mg/L"
"21FLTPA_WQX-2758546822297","2005-11-08",27.9818333,-82.3693611,0.06,"mg/L"
"21FLTPA_WQX-27591538222229","2005-06-13",27.9875833,-82.3730278,0.004,"mg/L"
"21FLHILL_WQX-007","2005-07-12",27.85889,-82.468597,0.01,"mg/L"
"21FLTPA_WQX-2801568241139","2005-04-26",28.0182222,-82.6871944,0.064,"mg/L"
"21FLTPA_WQX-2821088242192","2005-08-09",28.0363333,-82.7053333,0.17,"mg/L"
"21FLTPA_WQX-2821088242192","2005-06-14",28.0363333,-82.7053333,0.004,"mg/L"
"21FLTPA_WQX-28003148219383","2005-11-08",28.0087222,-82.3273056,0.098,"mg/L"
"21FLTPA_WQX-27472298237236","2005-07-25",27.7896944,-82.6232222,0.011,"mg/L"
"21FLTPA_WQX-280503823129","2005-11-08",28.0834167,-82.5247222,0.15,"mg/L"
"21FLHILL_WQX-136","2005-04-20",27.68,-82.499199,0.012,"mg/L"
"21FLTPA_WQX-27594438241294","2005-02-28",27.9956389,-82.6915,0.053,"mg/L"
"21FLHILL_WQX-051","2005-12-06",27.8902,-82.548798,0.003,"mg/L"
"21FLHILL_WQX-093","2005-07-26",27.578899,-82.744102,0.003,"mg/L"
"21FLHILL_WQX-571","2005-09-14",27.773067,-82.335033,0.342,"mg/L"
"21FLHILL_WQX-133","2005-11-16",27.915001,-82.402199,1.899,"mg/L"
"21FLHILL_WQX-167","2005-11-16",27.79221,-82.35217,0.197,"mg/L"
"21FLTPA_WQX-28025538242267","2005-05-10",28.0486944,-82.7074167,0.004,"mg/L"
"21FLHILL_WQX-061","2005-11-01",27.9687,-82.562103,0.012,"mg/L"
"21FLHILL_WQX-141","2005-10-05",28.0261,-82.5812,0.722,"mg/L"
"21FLHILL_WQX-033","2005-07-06",27.826099,-82.567497,0.008,"mg/L"
"21FLHILL_WQX-147","2005-02-15",27.981501,-82.3545,0.005,"mg/L"
"21FLTPA_WQX-27554138244454","2005-04-19",27.9281389,-82.7459444,0.004,"mg/L"
"21FLTPA_WQX-2824878241307","2005-02-28",28.0468611,-82.6918611,0.046,"mg/L"
"21FLHILL_WQX-036","2005-05-03",27.855801,-82.553299,0.004,"mg/L"
"21FLHILL_WQX-082","2005-02-22",27.751101,-82.5718,0.004,"mg/L"
"21FLTPA_WQX-2756187824522","2005-03-07",27.9385278,-82.7506111,0.12,"mg/L"
"21FLTPA_WQX-27543968242063","2005-11-07",27.911,-82.70175,0.022,"mg/L"
"21FLWQSP_WQX-HIL538UL","2005-06-13",28.1124171,-82.561293,0.004,"mg/L"
"21FLTPA_WQX-24040127","2005-06-14",27.8795556,-82.7176389,0.039,"mg/L"
"21FLHILL_WQX-162","2005-06-02",28.01138,-82.57507,0.11,"mg/L"
"21FLHILL_WQX-159","2005-08-02",28.12344,-82.57732,0.011,"mg/L"
"21FLWQSP_WQX-HIL544UL","2005-08-29",28.0738883,-82.505128,0.004,"mg/L"
"21FLTPA_WQX-28020958240534","2005-02-28",28.0359722,-82.6815,0.011,"mg/L"
"21FLHILL_WQX-050","2005-07-06",27.918501,-82.537903,0.01,"mg/L"
"21FLTPA_WQX-27484848238033","2005-03-14",27.8134444,-82.63425,0.032,"mg/L"
"21FLTPA_WQX-27554138244454","2005-09-13",27.9281389,-82.7459444,0.008,"mg/L"
"21FLHILL_WQX-044","2005-06-07",27.9237,-82.480698,0.003,"mg/L"
"21FLHILL_WQX-025","2005-09-27",27.662701,-82.6679,0.003,"mg/L"
"21FLHILL_WQX-147","2005-09-20",27.981501,-82.3545,0.092,"mg/L"
"21FLHILL_WQX-040","2005-06-01",27.9291,-82.587303,0.01,"mg/L"
"21FLTPA_WQX-27474728237590","2005-04-25",27.7964444,-82.6330556,0.004,"mg/L"
"21FLTPA_WQX-27593868241169","2005-04-26",27.9940556,-82.6880278,0.004,"mg/L"
"21FLTPA_WQX-27473788237524","2005-07-25",27.7938333,-82.6312222,0.045,"mg/L"
"21FLSWFD_WQX-22666","2005-10-18",27.7422222,-82.655555,0.019,"mg/L"
"21FLHILL_WQX-040","2005-02-01",27.9291,-82.587303,0.008,"mg/L"
"21FLHILL_WQX-068","2005-11-01",27.8519,-82.580803,0.009,"mg/L"
"21FLHILL_WQX-142","2005-07-05",28.026699,-82.538002,0.086,"mg/L"
"21FLTPA_WQX-27554138244454","2005-03-07",27.9281389,-82.7459444,0.004,"mg/L"
"21FLHILL_WQX-599","2005-07-27",27.897517,-82.401617,0.029,"mg/L"
"21FLHILL_WQX-102","2005-07-05",28.010599,-82.607803,0.134,"mg/L"
"21FLSWFD_WQX-17982","2005-12-28",27.7408611,-82.293861,0.194,"mg/L"
"21FLHILL_WQX-051","2005-01-05",27.8902,-82.548798,0.004,"mg/L"
"21FLHILL_WQX-109","2005-08-17",27.945999,-82.401604,0.025,"mg/L"
"21FLHILL_WQX-158","2005-09-06",28.03391,-82.62173,0.218,"mg/L"
"21FLHILL_WQX-032","2005-07-12",27.7932,-82.570702,0.004,"mg/L"
"21FLHILL_WQX-052","2005-10-11",27.896999,-82.438202,0.011,"mg/L"
"21FLHILL_WQX-070","2005-01-11",27.908899,-82.463203,0.002,"mg/L"
"21FLHILL_WQX-138","2005-07-20",27.9165,-82.392998,0.037,"mg/L"
"21FLHILL_WQX-044","2005-08-10",27.9237,-82.480698,0.017,"mg/L"
"21FLHILL_WQX-160","2005-06-02",28.06594,-82.56575,0.085,"mg/L"
"21FLTPA_WQX-28025538242267","2005-03-29",28.0486944,-82.7074167,0.004,"mg/L"
"21FLTPA_WQX-2821088242192","2005-09-20",28.0363333,-82.7053333,0.03,"mg/L"
"21FLHILL_WQX-032","2005-06-07",27.7932,-82.570702,0.003,"mg/L"
"21FLHILL_WQX-164","2005-03-01",27.98907,-82.55028,0.108,"mg/L"
"21FLHILL_WQX-157","2005-11-02",28.04484,-82.64484,0.035,"mg/L"
"21FLWQSP_WQX-HIL555US","2005-11-21",28.00033,-82.56456,0.01,"mg/L"
"21FLTPA_WQX-24030151","2005-10-03",28.0744167,-82.5301111,0.13,"mg/L"
"21FLTPA_WQX-2821288240456","2005-11-08",28.0359722,-82.6815,0.026,"mg/L"
"21FLHILL_WQX-008","2005-03-09",27.8524,-82.409302,0.116,"mg/L"
"21FLHILL_WQX-066","2005-10-04",27.927799,-82.639702,0.003,"mg/L"
"21FLHILL_WQX-163","2005-06-02",28.0001,-82.55179,0.049,"mg/L"
"21FLTPA_WQX-28025538242267","2005-08-09",28.0486944,-82.7074167,0.023,"mg/L"
"21FLSWFD_WQX-22674","2005-09-28",27.7286111,-82.649722,0.003,"mg/L"
"21FLHILL_WQX-062","2005-11-01",27.969999,-82.574303,0.012,"mg/L"
"21FLTPA_WQX-27573848245352","2005-07-19",27.9606667,-82.7597778,0.033,"mg/L"
"21FLWQSP_WQX-HIL538UL","2005-08-29",28.1124171,-82.561293,0.004,"mg/L"
"21FLHILL_WQX-041","2005-10-04",27.937401,-82.565002,0.004,"mg/L"
"21FLHILL_WQX-084","2005-01-25",27.729,-82.498703,0.08,"mg/L"
"21FLHILL_WQX-008","2005-10-11",27.8524,-82.409302,0.275,"mg/L"
"21FLTPA_WQX-27584728241429","2005-06-14",27.9797778,-82.69525,0.047,"mg/L"
"21FLWQSP_WQX-PIN589US","2005-11-21",27.9131514,-82.741033,0.01,"mg/L"
"21FLHILL_WQX-036","2005-01-05",27.855801,-82.553299,0.002,"mg/L"
"21FLHILL_WQX-054","2005-09-13",27.9319,-82.432602,0.003,"mg/L"
"21FLHILL_WQX-070","2005-06-07",27.908899,-82.463203,0.014,"mg/L"
"21FLTPA_WQX-24030151","2005-08-09",28.0744167,-82.5301111,0.096,"mg/L"
"21FLHILL_WQX-070","2005-03-09",27.908899,-82.463203,0.015,"mg/L"
"21FLTPA_WQX-28353823320","2005-04-05",28.0647222,-82.5555556,0.19,"mg/L"
"21FLTPA_WQX-2824878241307","2005-08-09",28.0468611,-82.6918611,0.06,"mg/L"
"21FLTPA_WQX-2801568241139","2005-06-14",28.0182222,-82.6871944,0.1,"mg/L"
"21FLHILL_WQX-071","2005-06-07",27.876499,-82.413803,0.003,"mg/L"
"21FLHILL_WQX-101","2005-05-04",28.024799,-82.631599,0.056,"mg/L"
"21FLHILL_WQX-041","2005-11-01",27.937401,-82.565002,0.049,"mg/L"
"21FLHILL_WQX-021","2005-04-26",27.6625,-82.563904,0.011,"mg/L"
"21FLHILL_WQX-141","2005-12-07",28.0261,-82.5812,0.675,"mg/L"
"21FLHILL_WQX-024","2005-08-23",27.5884,-82.619301,0.02,"mg/L"
"21FLWQSP_WQX-HIL538UL","2005-03-21",28.1124171,-82.561293,0.004,"mg/L"
"21FLHILL_WQX-110","2005-02-16",27.9526,-82.370796,0.008,"mg/L"
"21FLHILL_WQX-144","2005-06-15",27.8381,-82.382202,0.112,"mg/L"
"21FLHILL_WQX-052","2005-09-13",27.896999,-82.438202,0.007,"mg/L"
"21FLTPA_WQX-28585728242259","2005-09-13",27.9825555,-82.7071944,0.15,"mg/L"
"21FLTPA_WQX-27595058241475","2005-03-29",27.9973611,-82.6965278,0.007,"mg/L"
"21FLHILL_WQX-080","2005-03-09",27.809601,-82.445999,0.005,"mg/L"
"21FLWQSP_WQX-HIL556UL","2005-05-23",28.01379,-82.49299,0.004,"mg/L"
"21FLWQSP_WQX-HIL593CA","2005-04-29",28.0607902,-82.343442,0.004,"mg/L"
"21FLSWFD_WQX-17982","2005-10-18",27.7408611,-82.293861,0.117,"mg/L"
"21FLHILL_WQX-007","2005-11-08",27.85889,-82.468597,0.003,"mg/L"
"21FLWQSP_WQX-HIL542UL","2005-11-22",28.1398009,-82.476899,0.004,"mg/L"
"21FLTPA_WQX-2801568241139","2005-08-09",28.0182222,-82.6871944,0.24,"mg/L"
"21FLTPA_WQX-27595058241475","2005-07-18",27.9973611,-82.6965278,0.02,"mg/L"
"21FLHILL_WQX-008","2005-04-12",27.8524,-82.409302,0.007,"mg/L"
"21FLWQSP_WQX-HIL553US","2005-12-05",28.0430725,-82.511815,0.34,"mg/L"
"21FLHILL_WQX-136","2005-06-15",27.68,-82.499199,0.01,"mg/L"
"21FLTPA_WQX-27525598242544","2005-10-10",27.8821944,-82.7151111,0.6,"mg/L"
"21FLTPA_WQX-2821088242192","2005-05-17",28.0363333,-82.7053333,0.01,"mg/L"
"21FLTPA_WQX-24010115","2005-03-14",27.6056389,-82.5576667,0.004,"mg/L"
"21FLHILL_WQX-052","2005-03-09",27.896999,-82.438202,0.003,"mg/L"
"21FLHILL_WQX-024","2005-09-27",27.5884,-82.619301,0.005,"mg/L"
"21FLHILL_WQX-032","2005-03-09",27.7932,-82.570702,0.007,"mg/L"
"21FLTPA_WQX-27595058241475","2005-09-13",27.9973611,-82.6965278,0.07,"mg/L"
"21FLHILL_WQX-147","2005-06-14",27.981501,-82.3545,0.009,"mg/L"
"21FLTPA_WQX-27483148237022","2005-03-14",27.8087222,-82.6172778,0.028,"mg/L"
"21FLHILL_WQX-046","2005-06-01",27.9904,-82.659302,0.003,"mg/L"
"21FLWQSP_WQX-HIL556UL","2005-11-15",28.01379,-82.49299,0.004,"mg/L"
"21FLSWFD_WQX-17927","2005-05-23",27.7481666,-82.281972,0.2439,"mg/L"
"21FLTPA_WQX-2821088242192","2005-08-02",28.0363333,-82.7053333,0.14,"mg/L"
"21FLTPA_WQX-24040127","2005-07-26",27.8795556,-82.7176389,0.047,"mg/L"
"21FLHILL_WQX-047","2005-10-04",27.972601,-82.620201,0.007,"mg/L"
"21FLHILL_WQX-141","2005-05-04",28.0261,-82.5812,0.401,"mg/L"
"21FLTPA_WQX-27541138225118","2005-04-25",27.9031389,-82.4199444,0.014,"mg/L"
"21FLHILL_WQX-080","2005-05-10",27.809601,-82.445999,0.003,"mg/L"
"21FLTPA_WQX-275672824545","2005-03-07",27.9353333,-82.75125,0.11,"mg/L"
"21FLTPA_WQX-27584728241429","2005-08-09",27.9797778,-82.69525,0.004,"mg/L"
"21FLHILL_WQX-051","2005-06-01",27.8902,-82.548798,0.007,"mg/L"
"21FLHILL_WQX-011","2005-07-12",27.812901,-82.478897,0.009,"mg/L"
